Epoch	Acc	MSE_loss	Proto_loss	CL_loss
001	0.3112	0.2099	1.5997	0.9933
002	0.3929	0.0668	1.4108	0.9829
003	0.4444	0.0385	1.2964	0.9718
004	0.4844	0.0309	1.2304	0.9635
005	0.5230	0.0276	1.1557	0.9560
006	0.5409	0.0272	1.1098	0.9509
007	0.5822	0.0265	1.0043	0.9446
008	0.6009	0.0265	0.9762	0.9415
009	0.6114	0.0260	0.9290	0.9376
010	0.6350	0.0259	0.8999	0.9352
011	0.6511	0.0260	0.8601	0.9298
012	0.6617	0.0257	0.8316	0.9285
013	0.6655	0.0253	0.8161	0.9275
014	0.6648	0.0252	0.8107	0.9273
015	0.6773	0.0252	0.8013	0.9269
016	0.6674	0.0252	0.7859	0.9265
017	0.6789	0.0254	0.7930	0.9268
018	0.6817	0.0253	0.7748	0.9271
019	0.6761	0.0253	0.7892	0.9260
